Repository,User,EventType,Comment
Hiroyuki-Nagata/JaneClone,vabock,IssueCommentEvent,"あと、`JaneCloneImageViewer`の右クリックメニューですが`EVT_RIGHT_DOWN`ではなく`EVT_CONTEXT_MENU`を使ったほうがいいと思います
```diff
--- a/src/imagepanel.cpp
+++ b/src/imagepanel.cpp
@@ -26,7 +26,6 @@
 
 BEGIN_EVENT_TABLE(wxImagePanel, wxPanel)
 
-EVT_RIGHT_DOWN(wxImagePanel::RightClick)
 // some useful events
 /*
   EVT_MOTION(wxImagePanel::mouseMoved)
@@ -108,14 +107,6 @@ void wxImagePanel::Render(wxDC&  dc) {
      dc.DrawBitmap( image, 0, 0, false );
 }
 /**
- * パネル上で右クリックされた場合の処理
- */
-void wxImagePanel::RightClick(wxMouseEvent& event) {
-
-     // 親クラスのイベントを呼ぶ・戻ってこない
-     return ((JaneCloneImageViewer*)this->GetParent())->OnRightClickImageViewer(event);
-}
-/**
  * 画像のファイルパスを返す
  */
 wxString wxImagePanel::GetFilePath() {
```
このイメージパネル側の処理も必要無くなります。ただし、タブが無いときでもメニューが出てしまうので状況によってメニューアイテムを無効化する必要があります。
本来はEVT_UPDATE_UIでやるのが良いのでしょうが今回は""ビューア設定""と""ビューアを隠す""以外のメニュー項目の有効／無効を切り換えるようにしました。今一ならマージから外します(vabock/JaneClone@562b1a983469c557e9bf277f610e370a47935ad3)

もう一つ、`GetPage`で返されるポインタは`wxImagePanel`そのものなので`wxWindow::FindWindowById`を挟む必要はありません(vabock/JaneClone@086f43bf85abe2940d9e295ad9d02ac10cc68983)"
ncuesta/dropzonejs-rails,ncuesta,IssueCommentEvent,"Hi @bglbruno, thanks for submitting this PR. One quick question: where do these changes com from? Did you copy by hand the original Dropzone's CSS files?

Thanks again, and happy new year!"
NixOS/nixpkgs,shlevy,IssueCommentEvent,"`proot` build failure is due to hard-coding `git-export`, not a problem with this patch. I'll fix it and update the PR."
travis-ci/travis-ci,deivid-rodriguez,IssueCommentEvent,"@mpapis I just tried this and it still can't match `2.2.0-preview1` to `2.2`.

    davidr@pantani:~/Proyectos/byebug$ rvm --version
    rvm 1.26.7 (master) by Wayne E. Seguin <wayneeseguin@gmail.com>, Michal Papis <mpapis@gmail.com> [https://rvm.io/]
    davidr@pantani:~/Proyectos/byebug$ rvm list

    rvm rubies

       ext-ruby-2.3.0dev-r49059 [ i686 ]
       ruby-2.0.0-p598 [ i686 ]
    => ruby-2.1.5 [ i686 ]
     * ruby-2.2.0-preview1 [ i686 ]
       ruby-head [ i686 ]

    # => - current
    # =* - current && default
    #  * - default

    davidr@pantani:~/Proyectos/byebug$ rvm use 2.2
    ruby-2.2.0 is not installed.
    To install do: 'rvm install ruby-2.2.0'
    davidr@pantani:~/Proyectos/byebug$

The abilitty to autocomplete to preview and rc versions is really minor and nobody will ever need this until `2.3.0-preview1`, but just wanted to let you know. :wink: 

Closing as this is definitely not a travis issue."
dichika/yeah,teramonagi,IssueCommentEvent,It works in my environment too(Win)! Thanks alot
ncla/LoungeDestroyer,birjolaxew,IssueCommentEvent,"Has this happened more than once? Are the settings saved (i.e. setting autobump to enabled actually autobumps your trades), and reset only when loading the settings page?"
scipy/scipy,rgommers,IssueCommentEvent,updated
edx/edx-platform,andy-armstrong,PullRequestReviewCommentEvent,"@catong Thanks for the detailed explanation. I'm fine with doing this incrementally as you suggest.  Is this in our own style guide so that other teams also stop using ""please""?"
s9y/Serendipity,ophian,IssueCommentEvent,@yellowled do we need a default copy of serendipity_editor.js for this?
dshafik/securepasswords.info,harikt,IssueCommentEvent,"Hey @dshafik ,

Ok. Thanks. I can make use of `PASSWORD_DEFAULT` . But one question, what will happen if the algorithm is changed from BCRYPT to a different one say X. I assume the hashing of both are different and may be the verify has the functionality to detect the old algorithm used and change it ?

> Does Aura.Auth handle rehashing if the algorithm/options change?

No. It does not deal inserting / updating data. Probably it should need that I think. Still on the beta's. So suggestions welcome :-) ."
pioneerspacesim/pioneer,fluffyfreak,IssueCommentEvent,"Alright I would like to merge this today/tomorrow so that people can enjoy 24 seconds startup times, instead of 2 minutes, as soon as possible.

@robn lets do those changes to the build script separately once this PR is merged.
@impaktor you got any time to give this a quick test, once without the SGM files and once with?"
cachethq/Cachet,jbrooksuk,IssueCommentEvent,Happy to merge?
enigma-dev/enigma-dev,sorlok,IssueCommentEvent,"The code seems to work; I get the expected output. I'm not 100% convinced this is the best solution to the problem, but since it's all wrapped up into a config setting then I guess it's harmless overall. I checked the code briefly, and it seems that we don't do anything else in parser_add_semicolons(). (We usually piggy-back functionality, but this function seems to have been relatively untouched.)"
ARMAZILA/FlightCode,robert-b,IssueCommentEvent,"At the moment I have no spare time to continue work on this project.
It may change later this year."
Tonius/NEI-Integration,leSamo,IssueCommentEvent,Thanks
pimatic/pimatic,Yves911,IssueCommentEvent,"yes it's very strange also to me, but it seems to be the case.
about npm list this is what i have:
```
pimatic-homeduino@0.8.31 /root/pimatic-git/node_modules/pimatic-homeduino
├─┬ homeduino@0.0.25
│ ├── bluebird@2.2.2
│ ├── otaat-repl@1.0.2
│ ├── rfcontroljs@0.0.20
│ └─┬ serialport@1.4.10
│   ├── async@0.9.0
│   ├── bindings@1.2.1
│   ├── nan@1.3.0
│   ├─┬ node-pre-gyp@0.5.19
│   │ ├─┬ mkdirp@0.5.0
│   │ │ └── minimist@0.0.8
│   │ ├─┬ nopt@2.2.1
│   │ │ └── abbrev@1.0.5
│   │ ├─┬ npmlog@0.0.6
│   │ │ └── ansi@0.2.1
│   │ ├─┬ rc@0.4.0
│   │ │ ├── deep-extend@0.2.10
│   │ │ ├── ini@1.1.0
│   │ │ ├── minimist@0.0.10
│   │ │ └── strip-json-comments@0.1.3
│   │ ├─┬ request@2.36.0
│   │ │ ├── aws-sign2@0.5.0
│   │ │ ├── forever-agent@0.5.2
│   │ │ ├─┬ form-data@0.1.2
│   │ │ │ ├── async@0.2.10
│   │ │ │ └─┬ combined-stream@0.0.4
│   │ │ │   └── delayed-stream@0.0.5
│   │ │ ├─┬ hawk@1.0.0
│   │ │ │ ├── boom@0.4.2
│   │ │ │ ├── cryptiles@0.2.2
│   │ │ │ ├── hoek@0.9.1
│   │ │ │ └── sntp@0.2.4
│   │ │ ├─┬ http-signature@0.10.0
│   │ │ │ ├── asn1@0.1.11
│   │ │ │ ├── assert-plus@0.1.2
│   │ │ │ └── ctype@0.5.2
│   │ │ ├── json-stringify-safe@5.0.0
│   │ │ ├── mime@1.2.11
│   │ │ ├── node-uuid@1.4.1
│   │ │ ├── oauth-sign@0.3.0
│   │ │ ├── qs@0.6.6
│   │ │ ├─┬ tough-cookie@0.12.1
│   │ │ │ └── punycode@1.2.4
│   │ │ └── tunnel-agent@0.4.0
│   │ ├── rimraf@2.2.8
│   │ ├── semver@2.3.0
│   │ ├─┬ tar@0.1.19
│   │ │ ├── block-stream@0.0.7
│   │ │ ├─┬ fstream@0.1.25
│   │ │ │ ├── graceful-fs@2.0.3
│   │ │ │ └── mkdirp@0.3.5
│   │ │ └── inherits@2.0.1
│   │ └─┬ tar-pack@2.0.0
│   │   ├── debug@0.7.4
│   │   ├─┬ fstream@0.1.25
│   │   │ ├── graceful-fs@2.0.3
│   │   │ ├── inherits@2.0.1
│   │   │ └── mkdirp@0.3.5
│   │   ├─┬ fstream-ignore@0.0.7
│   │   │ ├── inherits@2.0.1
│   │   │ └─┬ minimatch@0.2.14
│   │   │   ├── lru-cache@2.5.0
│   │   │   └── sigmund@1.0.0
│   │   ├── graceful-fs@1.2.3
│   │   ├── once@1.1.1
│   │   ├─┬ readable-stream@1.0.27-1
│   │   │ ├── core-util-is@1.0.1
│   │   │ ├── inherits@2.0.1
│   │   │ ├── isarray@0.0.1
│   │   │ └── string_decoder@0.10.25-1
│   │   └── uid-number@0.0.3
│   ├─┬ optimist@0.6.1
│   │ ├── minimist@0.0.10
│   │ └── wordwrap@0.0.2
│   └── sf@0.1.7
└── UNMET DEPENDENCY pimatic 0.8.*

npm ERR! missing: pimatic@0.8.*, required by pimatic-homeduino@0.8.31
npm ERR! not ok code 0
```"
rovo89/XposedInstaller,rovo89,IssueCommentEvent,I'd go for the second condition.
6to5/6to5,zloirock,IssueCommentEvent,"I don't think this a good idea. Transducers === lazy evaluation, it's good for map -> filter, but comprehensions are filter -> map. Be better revert to simple loop, it will be faster and fix [this issue](https://github.com/6to5/6to5/issues/252)."
fifthweek/fifthweek-web,ttbarnes,IssueCommentEvent,"For now, we're de-scoping auto-collapsing the sidebar in the home page. We can look at this later, and build a solution so that such a feature can be easily applied to any view."
hadess/rtl8723bs,chengyuhui,IssueCommentEvent,"@hadess Could you please post your tablet's dmesg?
I could not see 80860F14:03, which is the SD card slot."
SpigotMC/BungeeCord,Schmoller,IssueCommentEvent,Apparently I am terrible at searching. I didn't see it at all.
PX4/Firmware,LorenzMeier,IssueCommentEvent,This is largely untested. Testing welcome.
cachethq/Cachet,GrahamCampbell,IssueCommentEvent,No.
cachethq/Cachet,GrahamCampbell,IssueCommentEvent,Not done yet.
mitsuhiko/flask,untitaker,IssueCommentEvent,That runs fine for me. Which version of Flask is this?
sympy/sympy,skirpichev,PullRequestReviewCommentEvent,"> Without my modification, this is my pep8 output:

`pep8 --version`?"
great-h/great-h.github.io,tsuda-a,IssueCommentEvent,"一部 Chrome で表示できない機能があった他は、何事もなく年越しした感じでした。
(最後、2014年 終了おめでとう! なのか 2015 年に変わるのかが気になってた)"
laravel/framework,GrahamCampbell,IssueCommentEvent,"No, it didn't. :)"
bitmazk/django-hero-slider,Tyrdall,IssueCommentEvent,"@jTiKey I bet your INSTALLED_APPS settings looks like this:

     ...
    'easy_thumbnails'
    'hero_slider'
    ...

You will have to add a comma after ``'easy_thumbnails'´´."
WorldCretornica/PlotMe-Core,EvilOlaf,IssueCommentEvent,"Looks pretty weird.
Use Markdown for better viewability of logs and configs next time: https://guides.github.com/features/mastering-markdown/

Do you run your server in offline mode?

Thanks"
ORCID/ORCID-Source,VladimirAlexiev,IssueCommentEvent,Thanks!!
pouchdb/pouchdb,daleharvey,IssueCommentEvent,"makes sense, cheers - https://github.com/pouchdb/pouchdb/commit/d4cf55bbbc303fda510f5e06e229504564261c96"
travis-ci/travis-ci,mpapis,IssueCommentEvent,"@deivid-rodriguez travis uses `--fuzzy` flag, try:
```bash
rvm use 2.2 --fuzzy
```
"
ncuesta/dropzonejs-rails,ncuesta,IssueCommentEvent,"I'm going to merge #21 in, as it doesn't drop the usage of `image-url` helpers."
izuzero/xe-module-ajaxboard,ioz2014,IssueCommentEvent,플러그인 로딩에 대해 우선순위를 설정할 수 있나요? 만약 그렇지 못하다면 차라리 통신메시지 설정은 모듈의 전체 설정에 넣는것이 좋아보입니다.
areina/helm-dash,kidd,IssueCommentEvent,"Applied, thanks!

"
6to5/6to5,sebmck,IssueCommentEvent,@zloirock This would be an optional transformer.
cachethq/Cachet,jbrooksuk,IssueCommentEvent,"Whoops, sorry.

Just merge when you're ready then."
rlf/uSkyBlock,woolwind,IssueCommentEvent,"it was the cake - on the last test, I changed nothing but the 'b' in 'baker' from the working default baker challenge.  I changed it back to 'b' and the file loads."
directhex/steamos-installer,directhex,PullRequestReviewCommentEvent,"""install the syslinux and syslinux packages"" ?"
cachethq/Cachet,jbrooksuk,IssueCommentEvent,"Please, I've got to go out."
Homebrew/homebrew,bfontaine,IssueCommentEvent,@mikemcquaid just updated with a 0.1s [blank](http://www.xamuel.com/blank-mp3s/) file I compressed to the lowest bitrate. It’s down to 502B (the previous sound was 13kb).
florianheinemann/passwordless,jzkunlun,IssueCommentEvent,"Thank you for your support. I will poke around.



On Thu, Jan 1, 2015 at 2:50 AM, Florian Heinemann <notifications@github.com>
wrote:
>
> Hi! There is a line on it here:
> https://github.com/florianheinemann/passwordless#10-who-is-logged-in
> Basically, the req.user object stores the information about *who* is
> logged in. All you have to do is interpret it on the server-side and pass
> whatever you need to the client-side. If you want to pass on additional
> information about the specific level of access, you might want to do an
> additional lookup from your database by adding another middleware layer.
>
> If it's about not allowing access to certain pages see here:
> https://github.com/florianheinemann/passwordless#9-protect-your-pages
>
> Does that help?
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/florianheinemann/passwordless/issues/46#issuecomment-68482113>
> .
>"
